"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES","exp","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON","NB_CLUB","TOP_50","TOP_50_150","top_restant","France U16","France U17","France U18","France U19","France U20","France U21","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","U20_NB_BUT","U20_NB_MATCH_JOUE","U20_NB_MIN_JOUE","U20_TITULARISATION","U21_NB_BUT","U21_NB_MATCH_JOUE","U21_NB_MIN_JOUE","U21_TITULARISATION","Y"
128,"Milieu",8,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-05,5.59,3,"0","0","1",0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,0
130,"Attaquant",1,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00033,3.4,7,"1","1","1",1,1,1,1,1,0,5,11,678,8,2,13,670,6,NA,2,21,NA,NA,7,284,3,NA,1,90,1,NA,NA,NA,NA,0
134,"Defenseur",4,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,1,NA,16.51,16.51,16.51,NA,NA,16.51,16.51,16.51,NA,7e-05,15.63,4,"0","1","1",1,1,1,1,0,0,NA,1,90,1,NA,13,1143,13,NA,7,625,7,NA,2,115,1,NA,NA,NA,NA,NA,NA,NA,NA,0
137,"Defenseur",10,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,0,10.97,12.09,12.83,12.09,NA,NA,12.83,12.09,12.09,10.97,0.00021,9.05,4,"0","1","1",0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,130,1,NA,2,96,1,NA,NA,NA,NA,NA,NA,NA,NA,0
148,"Milieu",7,"France","CFM - ACADEMY AS MONACO FC","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.11,5,"0","1","1",0,1,1,1,0,1,NA,NA,NA,NA,NA,3,87,1,NA,13,758,10,NA,6,333,4,NA,NA,NA,NA,NA,2,99,1,0
151,"Defenseur",3,"France","aucun","aucun",0,1,10.46,10.63,10.63,10.63,10.63,10.63,10.71,10.71,10.71,NA,5e-05,10.08,4,"1","1","1",0,1,0,0,0,0,NA,NA,NA,NA,NA,3,159,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
158,"Attaquant",5,"Congo","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00048,7.92,4,"1","1","1",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,195,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
162,"Gardien de But",3,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM CLAIREFONTAINE",0,1,6.77,12.08,14.74,12.08,14.74,14.74,14.74,12.08,12.08,6.77,0,10.92,2,"0","0","1",1,0,0,0,0,0,NA,4,360,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
164,"Milieu",3,"France","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-05,10.68,3,"1","0","1",0,1,0,0,0,0,NA,NA,NA,NA,NA,2,81,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
165,"Defenseur",2,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-05,16.29,2,"0","0","1",0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,180,2,NA,NA,NA,NA,0
178,"Milieu",3,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",0,0,NA,14.17,14.17,14.17,18.43,18.43,10.69,10.69,10.69,NA,3e-05,10.69,2,"0","1","0",1,0,0,0,0,0,NA,6,274,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
181,"Attaquant",2,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00041,9.79,3,"1","0","0",1,0,0,0,0,0,1,5,201,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
185,"Defenseur",6,"France","aucun","aucun",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-05,7.64,4,"1","0","1",1,1,1,1,1,1,2,13,934,9,NA,10,855,10,NA,9,775,9,NA,6,452,6,1,7,565,7,2,6,462,5,0
187,"Attaquant",6,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM REIMS",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00039,8.03,2,"1","0","1",1,1,1,1,0,0,NA,3,87,1,1,9,373,4,NA,4,166,2,NA,1,78,1,NA,NA,NA,NA,NA,NA,NA,NA,0
196,"Milieu",2,"France","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00018,9.03,2,"0","0","1",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,107,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
198,"Milieu",5,"France","CFM - LOSC LILLE ASSOCIATION","PEM - PEM LIEVIN",0,0,16.57,16.04,16.47,16.04,16.04,16.04,16.47,16.04,16.04,15.47,0.00041,7.59,5,"1","0","1",1,0,0,0,0,0,2,9,487,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
206,"Milieu",4,"France","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,7.26,5,"0","0","1",0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,1154,12,NA,5,450,5,NA,NA,NA,NA,0
212,"Defenseur",3,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","PEM - PEM CASTELMAUROU",0,0,14.05,14.73,15.07,14.73,15.07,15.07,15.07,14.73,14.73,14.05,0,18.86,1,"0","1","0",1,1,0,0,0,0,NA,2,150,2,NA,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
216,"Defenseur",3,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,8.85,3,"1","0","1",1,0,0,0,0,0,NA,2,117,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
219,"Defenseur",4,"France","aucun","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,6.76,8,"1","0","1",1,1,1,1,1,0,NA,2,131,2,NA,3,224,2,1,12,884,10,NA,12,1009,11,NA,4,270,3,NA,NA,NA,NA,0
226,"Attaquant",12,"France","aucun","aucun",11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00044,3.89,2,"1","0","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,237,4,1
227,"Defenseur",2,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,13.07,3,"0","1","1",0,1,0,0,0,0,NA,NA,NA,NA,NA,1,89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
228,"Defenseur",5,"France","CFM - CENTRE DE FORMATION PARIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-05,9.88,3,"1","0","1",1,0,1,0,0,0,NA,2,103,1,NA,NA,NA,NA,NA,5,137,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
231,"Attaquant",7,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,NA,15.36,15.36,15.36,NA,NA,15.36,15.36,15.36,NA,0.00024,8.16,3,"0","1","1",1,0,0,0,0,0,NA,2,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
232,"Defenseur",5,"France","aucun","aucun",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-04,3.85,3,"1","1","0",1,1,1,0,0,0,NA,6,354,4,NA,15,1298,14,1,11,786,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
233,"Defenseur",4,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-05,8.46,6,"1","0","1",0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,389,4,NA,3,251,3,NA,NA,NA,NA,NA,NA,NA,NA,0
237,"Attaquant",7,"France","CFM - CENTRE DE FORMATION ST. LAVALLOIS F.C.","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00052,6.66,5,"1","1","1",0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,4,249,3,1,12,523,7,NA,NA,NA,NA,NA,NA,NA,NA,0
241,"Defenseur",10,"France","aucun","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00012,8.79,6,"1","0","1",0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,351,4,NA,9,723,8,1,3,233,3,NA,NA,NA,NA,1
243,"Attaquant",4,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00056,13.74,3,"1","0","0",1,1,1,0,0,0,NA,2,78,1,NA,3,171,2,NA,2,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
248,"Attaquant",1,"France","CFM - CENTRE DE FORMATION R.C. STRASBOURG ALSACE","PEM - PEM REIMS",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00071,11.88,2,"0","0","1",1,1,0,0,0,0,NA,9,466,6,1,7,307,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
251,"Attaquant",7,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM CLAIREFONTAINE",0,1,18.75,18.75,18.75,18.75,18.75,18.75,NA,NA,NA,NA,0.00049,8.11,3,"0","0","1",0,1,1,0,0,0,NA,NA,NA,NA,NA,1,16,NA,NA,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
253,"Attaquant",2,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00066,11.07,3,"0","1","1",0,1,0,0,0,0,NA,NA,NA,NA,NA,2,84,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
259,"Gardien de But",2,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","PEM - PEM LIEVIN",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.17,3,"0","1","0",0,1,1,0,0,0,NA,NA,NA,NA,NA,1,75,1,NA,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
262,"Attaquant",2,"France","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00033,9.17,4,"1","0","1",1,0,0,0,1,0,NA,2,88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,103,1,NA,NA,NA,NA,0
264,"Milieu",6,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,NA,12.32,12.32,12.32,NA,NA,NA,NA,NA,12.32,0.00068,14.6,2,"1","0","0",1,0,0,0,0,0,NA,5,172,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
275,"Attaquant",1,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00046,6.47,5,"1","1","1",0,1,0,0,0,0,NA,NA,NA,NA,NA,1,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
280,"Milieu",1,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","PEM - PEM PLOUFRAGAN",0,1,12.84,14.44,15.05,14.44,15.3,15.3,15.05,14.44,14.44,12.84,0.00012,9.41,6,"1","0","0",1,1,1,0,0,0,NA,10,474,5,NA,4,129,2,NA,2,92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
282,"Defenseur",2,"France","aucun","aucun",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-05,4.07,8,"1","1","1",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,1663,18,1
287,"Gardien de But",6,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.33,3,"1","1","0",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
291,"Defenseur",1,"Sénégal","aucun","aucun",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-05,5.05,5,"1","1","1",1,0,0,0,0,1,NA,9,462,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,603,8,0
292,"Milieu",3,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","PEM - PEM NANCY",0,0,10.47,13.87,15.7,13.87,17.37,17.37,17.98,13.13,13.13,13.87,0.00018,9.31,2,"0","1","0",0,1,0,0,0,0,NA,NA,NA,NA,NA,2,51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
308,"Attaquant",3,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",0,0,16.78,16.78,16.78,16.78,16.78,16.78,NA,16.78,16.78,16.78,0.00061,9.74,2,"0","0","1",0,1,0,0,0,0,NA,NA,NA,NA,2,6,247,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
317,"Attaquant",2,"Comores","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00046,5.74,6,"1","1","1",1,1,1,1,1,0,4,7,396,4,1,7,386,5,1,8,612,8,6,19,1328,17,NA,2,107,1,NA,NA,NA,NA,0
327,"Attaquant",2,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,0,16.96,16.4,16.75,16.4,16.5,16.5,16.75,16.4,16.4,16.11,0.00018,8,5,"1","0","1",1,0,0,0,0,0,NA,5,182,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
331,"Milieu",3,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00019,5.52,6,"1","0","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,411,3,0
334,"Attaquant",6,"France","CFM - CENTRE DE FORMATION LA BERRICHONNE DE CHATEAUROUX","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00057,7.05,5,"1","1","1",0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,171,2,NA,NA,NA,NA,3,11,445,3,0
344,"Attaquant",4,"Etats-Unis","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00088,4.59,7,"1","1","1",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,93,1,0
